id,name,description,ingredients,steps,tags,minutes
349,Adobo Pork,"A delicious and authentic Adobo Pork, honoring traditional Philippines cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'philippines', 'authentic', 'category:main']",45
350,Pork Sisig,"A delicious and authentic Pork Sisig, honoring traditional Philippines cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'philippines', 'authentic', 'category:main']",45
351,Feijoada,"A delicious and authentic Feijoada, honoring traditional Brazil cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'brazil', 'authentic', 'category:main']",45
352,Pork Ramen,"A delicious and authentic Pork Ramen, honoring traditional Japan cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'japan', 'authentic', 'category:main']",45
353,Porchetta,"A delicious and authentic Porchetta, honoring traditional Italy cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'italy', 'authentic', 'category:main']",45
354,Pork Goulash,"A delicious and authentic Pork Goulash, honoring traditional Hungary cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'hungary', 'authentic', 'category:main']",45
355,Carnitas,"A delicious and authentic Carnitas, honoring traditional Mexico cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'mexico', 'authentic', 'category:main']",45
356,Pork Aspic,"A delicious and authentic Pork Aspic, honoring traditional Eastern Europe cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'eastern-europe', 'authentic', 'category:main']",45
357,Babi Guling,"A delicious and authentic Babi Guling, honoring traditional Indonesia cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'indonesia', 'authentic', 'category:main']",45
358,Carpaccio,"A delicious and authentic Carpaccio, honoring traditional Italy – raw beef cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'italy-–-raw-beef', 'authentic', 'category:main']",45
359,Beef Tataki,"A delicious and authentic Beef Tataki, honoring traditional Japan cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'japan', 'authentic', 'category:main']",45
360,Beef Goulash,"A delicious and authentic Beef Goulash, honoring traditional Hungary cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'hungary', 'authentic', 'category:main']",45
361,Beef Barbacoa,"A delicious and authentic Beef Barbacoa, honoring traditional Mexico cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'mexico', 'authentic', 'category:main']",45
362,Beef Chili,"A delicious and authentic Beef Chili, honoring traditional USA cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'usa', 'authentic', 'category:main']",45
363,Beef Kofta,"A delicious and authentic Beef Kofta, honoring traditional Middle East cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'middle-east', 'authentic', 'category:main']",45
364,Steak Tartare,"A delicious and authentic Steak Tartare, honoring traditional France cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'france', 'authentic', 'category:beverage']",45
365,Beef Udon,"A delicious and authentic Beef Udon, honoring traditional Japan cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'japan', 'authentic', 'category:main']",45
366,Beef Pepper Steak,"A delicious and authentic Beef Pepper Steak, honoring traditional China cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'china', 'authentic', 'category:beverage']",45
367,Chicken Kiev,"A delicious and authentic Chicken Kiev, honoring traditional Ukraine cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'ukraine', 'authentic', 'category:main']",45
368,Chicken Adobo,"A delicious and authentic Chicken Adobo, honoring traditional Philippines cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'philippines', 'authentic', 'category:main']",45
369,Chicken Paprikash,"A delicious and authentic Chicken Paprikash, honoring traditional Hungary cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'hungary', 'authentic', 'category:main']",45
370,Chicken Marbella,"A delicious and authentic Chicken Marbella, honoring traditional Mediterranean cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'mediterranean', 'authentic', 'category:main']",45
371,Chicken Mole,"A delicious and authentic Chicken Mole, honoring traditional Mexico cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'mexico', 'authentic', 'category:main']",45
372,Chicken Karaage,"A delicious and authentic Chicken Karaage, honoring traditional Japan cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'japan', 'authentic', 'category:main']",45
373,Chicken Yassa,"A delicious and authentic Chicken Yassa, honoring traditional Senegal cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'senegal', 'authentic', 'category:main']",45
374,Chicken Cacciatore,"A delicious and authentic Chicken Cacciatore, honoring traditional Italy cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'italy', 'authentic', 'category:main']",45
375,Chicken Empanadas,"A delicious and authentic Chicken Empanadas, honoring traditional Latin America cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'latin-america', 'authentic', 'category:main']",45
376,Paneer Lababdar,"A delicious and authentic Paneer Lababdar, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
377,Paneer Kali Mirch,"A delicious and authentic Paneer Kali Mirch, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
378,Paneer Makhani Pizza,"A delicious and authentic Paneer Makhani Pizza, honoring traditional fusion cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'fusion', 'authentic', 'category:main']",45
379,Paneer Frankie,"A delicious and authentic Paneer Frankie, honoring traditional India street food cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'india-street-food', 'authentic', 'category:main']",45
380,Paneer Jalfrezi,"A delicious and authentic Paneer Jalfrezi, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
381,Paneer Pasanda,"A delicious and authentic Paneer Pasanda, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
382,Paneer Kathi Roll,"A delicious and authentic Paneer Kathi Roll, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
383,Paneer Stuffed Paratha,"A delicious and authentic Paneer Stuffed Paratha, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
384,Achari Paneer,"A delicious and authentic Achari Paneer, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
385,Tofu Katsu,"A delicious and authentic Tofu Katsu, honoring traditional Japan-style cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'japan-style', 'authentic', 'category:main']",45
386,Tofu Banh Mi,"A delicious and authentic Tofu Banh Mi, honoring traditional Vietnam cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'vietnam', 'authentic', 'category:main']",45
387,Tofu Green Curry,"A delicious and authentic Tofu Green Curry, honoring traditional Thailand cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'thailand', 'authentic', 'category:main']",45
388,Tofu Teriyaki Bowl,"A delicious and authentic Tofu Teriyaki Bowl, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
389,Tofu Bibimbap,"A delicious and authentic Tofu Bibimbap, honoring traditional Korea cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'korea', 'authentic', 'category:main']",45
390,Tofu Summer Rolls,"A delicious and authentic Tofu Summer Rolls, honoring traditional Vietnam cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'vietnam', 'authentic', 'category:main']",45
391,Tofu Noodle Soup,"A delicious and authentic Tofu Noodle Soup, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
392,Grilled Tofu Skewers,"A delicious and authentic Grilled Tofu Skewers, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
393,Tofu Satay,"A delicious and authentic Tofu Satay, honoring traditional Global cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'global', 'authentic', 'category:main']",45
394,Shakshuka,"A delicious and authentic Shakshuka, honoring traditional Middle East/North Africa cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'middle-east/north-africa', 'authentic', 'category:main']",45
395,Caponata,"A delicious and authentic Caponata, honoring traditional Italy cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'italy', 'authentic', 'category:main']",45
396,Baingan Bharta,"A delicious and authentic Baingan Bharta, honoring traditional India cooking methods.","['500g ingredients', '2 tbsp cooking oil', '1 large onion, chopped', '2 cloves garlic, minced', 'Salt and pepper to taste', 'Fresh herbs for garnish']","['Prepare the ingredients by cleaning and seasoning well.', 'Heat oil in a pan over medium heat and sauté the chopped onion and minced garlic until fragrant.', 'Add the ingredients and cook thoroughly.', 'Season with salt, pepper, and regional spices.', 'Simmer until fully cooked and flavors have melded together.', 'Garnish with fresh herbs and serve hot.']","['ingredients', 'india', 'authentic', 'category:main']",45
